Abhayapuri#-90.63;26.4&
Basti#-82.92;26.87&
Batala#-75.2;31.8&
Bausi#-87.02;24.8&
Bayana#-77.3;26.92&
Bearma#-79.85;24.33&
Beas#-74.98;31.17&
Beawar#-74.3;26.05&
Begusarai#-86.15;25.4&
Behala#-88.33;22.5&
Bela#-82;25.83&
Belan#-81.75;24.03&
Belgaum#-74.58;15.92&
Bellary#-76.93;15.17&
Belonia#-91.5;23.25&
Belrain#-80.92;28.38&
Bemetara#-81.53;21.7&
Benares/Varanasi#-83;25.37&
Ber Mota#-68.57;23.45&
Berach#-75.03;25.25&
Berhampore/Baharampur#-88.45;24.03&
Berhampur/Brahmapur#-84.9;19.25&
Bettiah#-84.55;26.8&
Betul#-77.98;21.97&
Bewas#-79.35;23.98&
Bezwada/Vijayawada#-80.65;16.52&
Bhabua#-83.62;25.05&
Bhachau#-70.27;23.33&
Bhadar, Gujarat#-72.33;22.28&
Bhadar, Gujarat#-69.78;21.45&
Bhadwrwah#-75.77;32.97&
Bhadohi#-82.57;25.42&
Bhadra#-75.23;29.13&
Bhadrakh#-86.5;21.17&
Bhadran#-72.1;22.32&
Bhadravati#-75.67;13.82&
Bhagalpur#-87;25.17&
Bhagirathi, Uttaranchal#-78.58;30.13&
Bhagirathi, W. Bengal#-88.38;23.42&
Bhakra Dam#-76.75;31.5&
Bhandara#-79.7;21.08&
Bhanpura#-75.73;24.52&
Bhanrer Ra.#-79.08;23.67&
Bhaptiahi#-86.73;26.32&
Bharatpur, Chhattisgarh#-81.77;23.73&
Bharatpur, Raj.#-77.5;27.25&
Bharno#-84.88;23.23&
Bhatinda#-74.95;30.25&
Bhatpara#-88.42;22.83&
Bhattu#-75.32;29.6&
Bhaunagar/Bhavnagar#-72.17;21.75&
Bhavnagar#-72.17;21.75&
Bhawari#-73.07;25.7&
Bhayavadar#-70.25;21.85&
Bhikangaon#-75.95;21.87&
Bhilsa/Vidisha#-77.88;23.47&
Bhilwara#-74.63;25.42&
Bhima#-77.28;16.42&
Bhind#-78.77;26.5&
Bhinga#-81.93;27.72&
Bhinmal#-72.25;25&
Bhiwandi#-73;19.33&
Bhiwani#-76.15;28.83&
Bhogava#-72.33;22.43&
Bhopal#-77.5;23.33&
Bhubaneshwar#-85.83;20.25&
Bhuj#-69.82;23.25&
Bhusaval#-75.77;21.05&
Biaora#-76.93;23.93&
Bichia#-80.7;22.45&
Bidar#-77.58;17.92&
Bidhuna#-79.52;26.82&
Bihar#-85.67;25.08&
Bihar#-86;25&
Bihariganj#-86.98;25.73&
Bijaipur#-77.33;26.03&
Bijapur, Chhattisgarh#-80.83;18.83&
Bijapur, Karnataka#-75.92;16.83&
